"id","source","agency","title","opportunity_number","posted_date","close_date","deadline","url","final_score","keyword_score","semantic_score","matched_topics","high_priority","rationale","summary","eligibility","cost_share","contact","raw_tags"
"eu-43108390190140394","EU Portal","EIC","Next-generation heart bypass grafts to naturally restore cardiovascular function.","HORIZON-EIC-2021-ACCELERATOROPEN-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/190140394/HORIZON","1.58","2.63","0.0","Cardiovascular","False","","Next-generation heart bypass grafts to naturally restore cardiovascular function.","See call details","","",""
"eu-50133487","EU Portal","Horizon Europe","Call 02 - single stage (2026)","HORIZON-CL6-2026-02","","2026-04-14","2026-04-14","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2026-02-FARM2FORK-09","1.58","2.63","0.0","Cardiovascular","False","","Sustainable and healthy diets for cardiovascular diseases prevention with the support of digital applications","See call details","{'budgetYearsColumns': ['2026'], 'budgetTopicActionMap': {'112993': [{'action': 'HORIZON-CL6-2026-02-COMMUNITIES-01 - HORIZON-RIA HORIZON  Research and Innovation Actions', 'expectedGrants': 2, 'minCo","","HORIZON-CL6-2026-02-FARM2FORK-09"
"eu-43332642101162928","EU Portal","EU4Health","Mental Health Together","EU4H-2023-JA-2-IBA","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43332642/101162928/EU4H","1.58","2.63","0.0","Mental Health","False","","Mental Health Together","See call details","","",""
"eu-PP-2-2-2016","EU Portal","EU Programme","Call for proposals for Pilot Projects","PP-2-2016","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/PP-2-2-2016.json","1.58","2.63","0.0","Mental Health","False","","Pilot project — Mentally - access to mental health care and improving mental health literacy","See call details","","",""
"eu-43251589101058957","EU Portal","EU Programme","Mental Health Europe – Promoting the rights of persons with mental health problems and psychosocial disabilities","CERV-2021-DISA-OG-FPA","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43251589/101058957/CERV","1.58","2.63","0.0","Mental Health","False","","Mental Health Europe – Promoting the rights of persons with mental health problems and psychosocial disabilities","See call details","","",""
"eu-HORIZON-EIC-2022-ACCELERATORCHALLENGES-01","EU Portal","EIC","EIC Accelerator 2022","HORIZON-EIC-2022-ACCELERATOR-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIC-2022-ACCELERATORCHALLENGES-01.json","1.18","1.97","0.0","EU Programmes","False","","EIC Accelerator Challenge: Technologies for Open Strategic Autonomy","See call details","","",""
"eu-HORIZON-EIC-2024-ACCELERATOR-01","EU Portal","EIC","EIC Accelerator 2024 - Short application","HORIZON-EIC-2024-ACCELERATOR-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-EIC-2024-ACCELERATOR-01.json","1.18","1.97","0.0","EU Programmes","False","","EIC Accelerator 2024 - Short application","See call details","","",""
"eu-HORIZON-EIC-2025-ACCELERATOR-01","EU Portal","EIC","EIC Accelerator 2025 - Short application","HORIZON-EIC-2025-ACCELERATOR-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EIC-2025-ACCELERATOR-01.json","1.18","1.97","0.0","EU Programmes","False","","EIC Accelerator 2025 - Short application","See call details","","",""
"eu-HORIZON-EIC-2023-ACCELERATORCHALLENGES-04","EU Portal","EIC","EIC Accelerator 2023","HORIZON-EIC-2023-ACCELERATOR-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-EIC-2023-ACCELERATORCHALLENGES-04.json","1.18","1.97","0.0","EU Programmes","False","","EIC Accelerator Challenge: New European Bauhaus and Architecture, Engineering and Construction digitalisation for decarbonisation","See call details","","",""
"eu-ERC-2024-STG","EU Portal","ERC","Call for Proposals for ERC Starting Grant","ERC-2024-STG","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/ERC-2024-STG.json","1.18","1.97","0.0","EU Programmes","False","","ERC STARTING GRANTS","See call details","","",""
"eu-HORIZON-MSCA-2024-DN-01-01","EU Portal","MSCA","MSCA Doctoral Networks 2024","HORIZON-MSCA-2024-DN-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2024-DN-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Doctoral Networks 2024","See call details","","",""
"eu-HORIZON-MSCA-2023-DN-01-01","EU Portal","MSCA","MSCA Doctoral Networks 2023","HORIZON-MSCA-2023-DN-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2023-DN-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Doctoral Networks 2023","See call details","","",""
"eu-HORIZON-MSCA-2022-DN-01-01","EU Portal","MSCA","MSCA Doctoral Networks 2022","HORIZON-MSCA-2022-DN-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2022-DN-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Doctoral Networks 2022","See call details","","",""
"eu-HORIZON-MSCA-2021-DN-01-01","EU Portal","MSCA","MSCA Doctoral Networks 2021","HORIZON-MSCA-2021-DN-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2021-DN-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Doctoral Networks 2021","See call details","","",""
"eu-HORIZON-MSCA-2024-COFUND-01-01","EU Portal","MSCA","MSCA COFUND 2024","HORIZON-MSCA-2024-COFUND-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2024-COFUND-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA COFUND 2024","See call details","","",""
"eu-HORIZON-MSCA-2023-COFUND-01-01","EU Portal","MSCA","MSCA COFUND 2023","HORIZON-MSCA-2023-COFUND-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2023-COFUND-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA COFUND 2023","See call details","","",""
"eu-HORIZON-MSCA-2023-PF-01-01","EU Portal","MSCA","MSCA Postdoctoral Fellowships 2023","HORIZON-MSCA-2023-PF-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2023-PF-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Postdoctoral Fellowships 2023","See call details","","",""
"eu-HORIZON-MSCA-2022-COFUND-01-01","EU Portal","MSCA","MSCA COFUND 2022","HORIZON-MSCA-2022-COFUND-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2022-COFUND-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA COFUND 2022","See call details","","",""
"eu-HORIZON-MSCA-2022-PF-01-01","EU Portal","MSCA","MSCA Postdoctoral Fellowships 2022","HORIZON-MSCA-2022-PF-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2022-PF-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Postdoctoral Fellowships 2022","See call details","","",""
"eu-HORIZON-MSCA-2021-COFUND-01-01","EU Portal","MSCA","MSCA COFUND 2021","HORIZON-MSCA-2021-COFUND-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2021-COFUND-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA COFUND 2021","See call details","","",""
"eu-50126974","EU Portal","MSCA","MSCA COFUND 2026","HORIZON-MSCA-2026-COFUND-01","","2026-04-08","2026-04-08","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2026-COFUND-01-01","1.18","1.97","0.0","EU Programmes","False","","MSCA COFUND 2026","See call details","{'budgetYearsColumns': ['2026'], 'budgetTopicActionMap': {'112837': [{'action': 'HORIZON-MSCA-2026-COFUND-01-01 - HORIZON-TMA-MSCA-Cofund-D HORIZON TMA MSCA Cofund Doctoral programme', 'expectedGrants","","HORIZON-MSCA-2026-COFUND-01-01"
"eu-50132976","EU Portal","MSCA","MSCA COFUND 2027","HORIZON-MSCA-2027-COFUND-01","","2027-04-06","2027-04-06","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2027-COFUND-01-01","1.18","1.97","0.0","EU Programmes","False","","MSCA COFUND 2027","See call details","{'budgetYearsColumns': ['2027'], 'budgetTopicActionMap': {'112956': [{'action': 'HORIZON-MSCA-2027-COFUND-01-01 - HORIZON-TMA-MSCA-Cofund-D HORIZON TMA MSCA Cofund Doctoral programme', 'expectedGrants","","HORIZON-MSCA-2027-COFUND-01-01"
"eu-HORIZON-MSCA-2023-SE-01-01","EU Portal","MSCA","MSCA Staff Exchanges 2023","HORIZON-MSCA-2023-SE-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2023-SE-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Staff Exchanges 2023","See call details","","",""
"eu-HORIZON-MSCA-2022-SE-01-01","EU Portal","MSCA","MSCA Staff Exchanges 2022","HORIZON-MSCA-2022-SE-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2022-SE-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Staff Exchanges 2022","See call details","","",""
"eu-HORIZON-MSCA-2021-SE-01-01","EU Portal","MSCA","MSCA Staff Exchanges 2021","HORIZON-MSCA-2021-SE-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MSCA-2021-SE-01-01.json","1.18","1.97","0.0","EU Programmes","False","","MSCA Staff Exchanges 2021","See call details","","",""
"eu-49929087","EU Portal","IHI","Innovative Health Initiative JU Call 12","HORIZON-JU-IHI-2026-12-SINGLE-STAGE","","2026-04-21","2026-04-21","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-IHI-2026-12-SINGLE-STAGE-05","1.18","1.97","0.0","EU Programmes","False","","Boosting innovation for better assessment of the added value of innovative integrated healthcare solutions","See call details","{'budgetYearsColumns': ['2026'], 'budgetTopicActionMap': {'112629': [{'action': 'HORIZON-JU-IHI-2026-12-SINGLE-STAGE-05 - HORIZON-JU-RIA HORIZON JU Research and Innovation Actions', 'expectedGrants': ","","HORIZON-JU-IHI-2026-12-SINGLE-STAGE-05"
"eu-HORIZON-JU-IHI-2025-09-05-single-stage","EU Portal","IHI","Innovative Health Initiative JU Call 9","HORIZON-JU-IHI-2025-09-single-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2025-09-05-single-stage.json","1.18","1.97","0.0","EU Programmes","False","","Boosting innovation for better assessment of the added value of innovative integrated healthcare solutions","See call details","","",""
"eu-HORIZON-JU-IHI-2023-04-01-two-stage","EU Portal","IHI","Innovative Health Initiative JU Call 4","HORIZON-JU-IHI-2023-04-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2023-04-01-two-stage.json","1.18","1.97","0.0","EU Programmes","False","","Expanding translational knowledge in minipigs: a path to reduce and replace non-human primates in non-clinical safety assessment","See call details","","",""
"eu-HORIZON-JU-IHI-2023-05-01","EU Portal","IHI","Innovative Health Initiative JU Call 5","HORIZON-JU-IHI-2023-05","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2023-05-01.json","1.18","1.97","0.0","EU Programmes","False","","Accelerating the implementation of New Approach Methodologies and other innovative non-animal approaches for the development, testing and production of health technologies","See call details","","",""
"eu-HORIZON-JU-IHI-2024-08-03-two-stage","EU Portal","IHI","Innovative Health Initiative JU Call 8","HORIZON-JU-IHI-2024-08-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2024-08-03-two-stage.json","1.18","1.97","0.0","EU Programmes","False","","Modelling regulatory sandbox mechanisms and enabling their deployment to support breakthrough innovation","See call details","","",""
"eu-HORIZON-JU-GH-EDCTP3-2025-02-FELLOW-01-two-stage","EU Portal","Horizon Europe","HORIZON-JU-GH-EDCTP3-2025-02-two-stage","HORIZON-JU-GH-EDCTP3-2025-02-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-GH-EDCTP3-2025-02-FELLOW-01-two-stage.json","1.18","1.97","0.0","Public Health","False","","Global Health EDCTP3 JU and contributing partners funded Strategic Training Hubs for Fellowships in Public Health covering Biostatistics, Epidemiology and Modelling","See call details","","",""
